iter	Passed	Remaining
0	56	56075
1	57	28587
2	58	19569
3	60	14957
4	62	12397
5	63	10463
6	63	9068
7	64	8013
8	65	7188
9	65	6522
10	67	6089
11	68	5621
12	68	5224
13	69	4886
14	69	4590
15	70	4331
16	70	4100
17	71	3911
18	74	3823
19	74	3662
20	75	3521
21	78	3489
22	83	3555
23	84	3440
24	85	3351
25	87	3263
26	89	3235
27	90	3140
28	91	3047
29	91	2963
30	92	2888
31	96	2923
32	97	2848
33	97	2778
34	98	2710
35	99	2654
36	102	2666
37	103	2608
38	103	2555
39	104	2505
40	105	2458
41	106	2424
42	107	2387
43	107	2343
44	108	2301
45	108	2259
46	109	2227
47	110	2200
48	111	2163
49	112	2129
50	112	2096
51	113	2065
52	116	2089
53	117	2059
54	118	2029
55	118	2000
56	119	1976
57	120	1959
58	126	2011
59	126	1984
60	127	1960
61	128	1936
62	130	1941
63	131	1927
64	132	1903
65	132	1880
66	133	1857
67	133	1834
68	134	1812
69	135	1795
70	138	1814
71	139	1799
72	140	1780
73	140	1762
74	141	1745
75	144	1756
76	145	1738
77	145	1720
78	146	1703
79	146	1686
80	147	1669
81	147	1652
82	148	1637
83	152	1664
84	153	1649
85	153	1633
86	154	1620
87	155	1606
88	155	1593
89	158	1603
90	159	1590
91	159	1576
92	160	1563
93	160	1549
94	161	1536
95	162	1527
96	165	1543
97	166	1536
98	167	1524
99	168	1512
100	170	1514
101	172	1516
102	172	1505
103	173	1494
104	174	1483
105	174	1471
106	175	1460
107	175	1449
108	176	1441
109	180	1457
110	180	1447
111	181	1437
112	181	1427
113	182	1417
114	184	1421
115	185	1417
116	186	1407
117	187	1397
118	187	1388
119	188	1378
120	188	1369
121	189	1361
122	194	1384
123	194	1376
124	195	1367
125	195	1359
126	196	1350
127	197	1342
128	199	1346
129	200	1340
130	200	1332
131	201	1324
132	201	1316
133	202	1308
134	203	1302
135	206	1311
136	208	1311
137	208	1303
138	209	1295
139	209	1288
140	210	1282
141	211	1275
142	212	1271
143	214	1272
144	214	1265
145	215	1258
146	215	1251
147	216	1244
148	217	1244
149	221	1255
150	222	1248
151	222	1242
152	223	1235
153	223	1229
154	227	1240
155	228	1235
156	228	1228
157	229	1222
158	229	1216
159	230	1209
160	230	1202
161	232	1204
162	234	1203
163	234	1197
164	235	1191
165	236	1186
166	236	1181
167	237	1177
168	238	1174
169	239	1168
170	239	1163
171	240	1157
172	241	1154
173	242	1151
174	244	1153
175	245	1150
176	247	1149
177	247	1144
178	248	1139
179	249	1134
180	249	1130
181	250	1125
182	252	1127
183	253	1123
184	253	1117
185	254	1112
186	254	1108
187	255	1104
188	260	1116
189	260	1112
190	261	1107
191	261	1102
192	262	1098
193	263	1094
194	264	1093
195	266	1093
196	344	1405
197	347	1408
198	348	1401
199	348	1395
200	349	1388
201	350	1382
202	350	1376
203	351	1370
204	352	1367
205	354	1366
206	355	1362
207	357	1362
208	361	1367
209	362	1362
210	363	1358
211	365	1358
212	367	1358
213	368	1353
214	369	1348
215	369	1342
216	370	1336
217	372	1337
218	373	1333
219	379	1346
220	381	1344
221	384	1348
222	386	1348
223	387	1342
224	390	1345
225	393	1347
226	394	1343
227	395	1337
228	400	1347
229	402	1349
230	403	1344
231	404	1340
232	406	1336
233	409	1339
234	409	1334
235	411	1331
236	413	1331
237	414	1328
238	415	1323
239	416	1319
240	418	1317
241	419	1313
242	420	1309
243	421	1304
244	421	1299
245	422	1295
246	439	1340
247	444	1347
248	444	1341
249	446	1339
250	447	1334
251	448	1330
252	449	1327
253	452	1328
254	463	1355
255	465	1352
256	466	1349
257	467	1344
258	468	1339
259	469	1335
260	469	1330
261	481	1356
262	483	1354
263	484	1351
264	485	1346
265	486	1342
266	487	1337
267	493	1347
268	494	1344
269	495	1340
270	496	1335
271	497	1331
272	498	1327
273	499	1323
274	500	1318
275	501	1314
276	502	1310
277	503	1308
278	504	1303
279	505	1301
280	509	1302
281	509	1298
282	511	1295
283	513	1294
284	514	1290
285	516	1288
286	517	1284
287	519	1284
288	520	1279
289	520	1275
290	521	1271
291	522	1267
292	524	1265
293	525	1261
294	526	1257
295	526	1253
296	527	1249
297	528	1246
298	529	1242
299	531	1239
300	534	1240
301	535	1236
302	535	1232
303	539	1236
304	540	1231
305	542	1231
306	544	1228
307	544	1224
308	545	1220
309	547	1217
310	549	1216
311	549	1212
312	551	1211
313	552	1208
314	554	1205
315	556	1203
316	558	1202
317	559	1199
318	560	1196
319	572	1215
320	573	1212
321	574	1210
322	575	1206
323	577	1203
324	578	1202
325	579	1197
326	579	1193
327	580	1189
328	582	1187
329	582	1183
330	584	1181
331	588	1183
332	589	1180
333	590	1177
334	593	1177
335	595	1176
336	596	1172
337	597	1169
338	598	1167
339	603	1170
340	605	1169
341	608	1170
342	609	1167
343	610	1164
344	611	1160
345	613	1159
346	613	1155
347	614	1151
348	615	1148
349	617	1145
350	618	1143
351	618	1139
352	619	1136
353	620	1132
354	621	1130
355	622	1126
356	623	1123
357	624	1119
358	625	1117
359	626	1113
360	627	1111
361	630	1110
362	630	1107
363	631	1103
364	633	1101
365	634	1099
366	635	1095
367	635	1091
368	636	1088
369	637	1085
370	639	1083
371	640	1080
372	641	1077
373	641	1074
374	642	1071
375	643	1068
376	644	1065
377	645	1062
378	646	1059
379	647	1056
380	647	1052
381	648	1049
382	649	1046
383	650	1042
384	651	1040
385	652	1037
386	653	1034
387	654	1032
388	655	1029
389	655	1025
390	656	1022
391	656	1018
392	657	1015
393	659	1013
394	660	1010
395	660	1007
396	661	1004
397	662	1001
398	663	998
399	664	996
400	665	994
401	666	991
402	667	988
403	668	985
404	669	983
405	670	980
406	671	977
407	671	974
408	673	972
409	674	970
410	674	966
411	675	963
412	675	960
413	676	957
414	678	956
415	680	955
416	681	952
417	681	949
418	682	945
419	682	942
420	684	941
421	686	940
422	687	937
423	687	934
424	688	931
425	689	928
426	690	925
427	693	927
428	694	924
429	695	921
430	696	918
431	696	915
432	697	912
433	697	910
434	700	910
435	701	907
436	701	904
437	702	901
438	702	898
439	703	895
440	703	892
441	704	889
442	709	892
443	710	889
444	710	886
445	711	883
446	711	880
447	712	878
448	715	878
449	716	875
450	716	872
451	717	869
452	717	866
453	718	864
454	723	866
455	724	863
456	724	861
457	725	858
458	725	855
459	726	852
460	727	850
461	730	850
462	730	847
463	731	844
464	731	841
465	732	839
466	732	836
467	738	839
468	738	836
469	739	833
470	739	830
471	740	828
472	740	825
473	742	824
474	744	823
475	745	820
476	745	817
477	746	815
478	746	812
479	747	809
480	747	807
481	752	808
482	753	806
483	754	804
484	754	801
485	755	798
486	755	796
487	756	793
488	757	791
489	760	791
490	760	788
491	761	785
492	761	783
493	762	780
494	766	782
495	767	780
496	768	777
497	769	775
498	769	772
499	770	770
500	771	767
501	771	765
502	774	764
503	774	762
504	775	759
505	775	757
506	776	754
507	781	756
508	782	754
509	782	752
510	783	749
511	783	747
512	784	744
513	785	742
514	788	742
515	788	739
516	789	737
517	789	734
518	790	732
519	790	729
520	792	728
521	795	728
522	796	726
523	796	723
524	797	721
525	797	719
526	798	716
527	799	714
528	800	712
529	801	710
530	801	708
531	802	705
532	802	703
533	803	701
534	804	699
535	805	697
536	806	695
537	806	692
538	807	690
539	807	688
540	808	686
541	811	685
542	811	683
543	812	680
544	812	678
545	813	676
546	813	674
547	815	672
548	818	672
549	821	671
550	826	673
551	827	671
552	828	669
553	831	669
554	832	667
555	833	665
556	834	663
557	838	664
558	839	662
559	840	660
560	840	657
561	841	655
562	842	653
563	843	651
564	843	649
565	844	647
566	845	645
567	847	644
568	847	642
569	848	640
570	849	638
571	851	637
572	852	635
573	859	637
574	861	636
575	862	634
576	863	633
577	865	631
578	865	629
579	866	627
580	868	626
581	869	624
582	870	622
583	873	621
584	875	620
585	879	621
586	884	622
587	886	620
588	888	619
589	888	617
590	889	615
591	893	615
592	894	613
593	902	616
594	904	615
595	905	613
596	907	612
597	911	612
598	916	613
599	917	611
600	919	610
601	920	608
602	921	606
603	922	605
604	924	603
605	925	601
606	926	600
607	927	598
608	928	596
609	929	594
610	930	592
611	931	590
612	932	588
613	934	587
614	935	585
615	936	583
616	937	581
617	938	579
618	939	578
619	939	576
620	940	574
621	941	571
622	941	569
623	942	568
624	944	566
625	945	565
626	946	563
627	947	561
628	948	559
629	948	557
630	949	555
631	950	553
632	951	551
633	953	550
634	954	548
635	954	546
636	955	544
637	957	543
638	958	541
639	959	539
640	960	537
641	965	538
642	966	536
643	966	534
644	968	533
645	973	533
646	974	531
647	974	529
648	975	527
649	976	525
650	976	523
651	978	522
652	979	520
653	979	518
654	980	516
655	980	514
656	981	512
657	983	510
658	985	510
659	986	508
660	987	506
661	988	504
662	989	502
663	991	501
664	992	500
665	993	498
666	994	496
667	994	494
668	995	492
669	1000	492
670	1001	491
671	1002	489
672	1002	487
673	1003	485
674	1004	483
675	1007	482
676	1007	480
677	1008	478
678	1009	477
679	1009	475
680	1015	475
681	1015	473
682	1016	471
683	1016	469
684	1017	467
685	1018	465
686	1018	464
687	1020	462
688	1021	461
689	1022	459
690	1023	457
691	1023	455
692	1026	454
693	1029	454
694	1030	452
695	1031	450
696	1033	449
697	1034	447
698	1034	445
699	1035	443
700	1036	442
701	1037	440
702	1039	439
703	1041	437
704	1042	436
705	1043	434
706	1045	433
707	1046	431
708	1050	431
709	1051	429
710	1051	427
711	1052	425
712	1054	424
713	1055	422
714	1056	421
715	1058	419
716	1059	418
717	1061	416
718	1062	415
719	1062	413
720	1063	411
721	1064	409
722	1064	407
723	1065	406
724	1065	404
725	1067	402
726	1068	401
727	1070	399
728	1071	398
729	1072	396
730	1072	394
731	1073	393
732	1074	391
733	1074	389
734	1075	387
735	1078	387
736	1080	385
737	1082	384
738	1083	382
739	1085	381
740	1086	379
741	1087	378
742	1088	376
743	1089	374
744	1090	373
745	1091	371
746	1091	369
747	1092	368
748	1092	366
749	1094	364
750	1096	363
751	1097	361
752	1098	360
753	1098	358
754	1101	357
755	1102	355
756	1103	354
757	1104	352
758	1104	350
759	1105	349
760	1106	347
761	1107	345
762	1109	344
763	1110	342
764	1111	341
765	1112	339
766	1112	338
767	1113	336
768	1114	334
769	1114	333
770	1116	331
771	1117	330
772	1118	328
773	1118	326
774	1119	324
775	1119	323
776	1121	321
777	1122	320
778	1123	318
779	1124	317
780	1126	315
781	1127	314
782	1127	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1134	305
788	1135	303
789	1136	302
790	1137	300
791	1138	298
792	1139	297
793	1140	295
794	1142	294
795	1142	292
796	1143	291
797	1144	289
798	1144	287
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1150	280
804	1150	278
805	1151	277
806	1152	275
807	1155	274
808	1156	273
809	1157	271
810	1158	270
811	1160	268
812	1162	267
813	1162	265
814	1164	264
815	1165	262
816	1165	261
817	1166	259
818	1167	258
819	1168	256
820	1169	255
821	1170	253
822	1171	251
823	1171	250
824	1172	248
825	1172	247
826	1174	245
827	1175	244
828	1176	242
829	1176	241
830	1177	239
831	1178	238
832	1180	236
833	1182	235
834	1183	233
835	1184	232
836	1184	230
837	1185	229
838	1186	227
839	1186	226
840	1188	224
841	1189	223
842	1190	221
843	1191	220
844	1191	218
845	1192	217
846	1194	215
847	1194	214
848	1195	212
849	1196	211
850	1197	209
851	1198	208
852	1199	206
853	1200	205
854	1201	203
855	1202	202
856	1203	200
857	1204	199
858	1205	197
859	1206	196
860	1206	194
